央视频道,#genre#
湖北卫视,http://113.95.138.226:8888/rtp/239.77.0.95:5146$1920×1080
湖北卫视,http://113.95.138.226:8888/rtp/239.77.1.174:5146$1920×1080
旅游卫视,http://113.95.138.226:8888/rtp/239.253.43.35:5146$1920×1080
旅游卫视,http://113.95.138.226:8888/rtp/239.253.43.101:5146$1920×1080
陕西卫视,http://113.95.138.226:8888/rtp/239.77.1.54:5146$720×576
陕西卫视,http://113.95.138.226:8888/rtp/239.77.0.68:5146$720×576
东南卫视,http://113.95.138.226:8888/rtp/239.77.1.104:5146$1920×1080
东南卫视,http://113.95.138.226:8888/rtp/239.77.0.146:5146$1920×1080
吉林卫视,http://113.95.138.226:8888/rtp/239.77.1.111:5146$1920×1080
吉林卫视,http://113.95.138.226:8888/rtp/239.77.0.150:5146$1920×1080
辽宁卫视,http://113.95.138.226:8888/rtp/239.77.1.103:5146$1920×1080
辽宁卫视,http://113.95.138.226:8888/rtp/239.77.0.123:5146$1920×1080
内蒙古卫视,http://113.95.138.226:8888/rtp/239.77.1.55:5146$720×576
内蒙古卫视,http://113.95.138.226:8888/rtp/239.77.0.70:5146$720×576
湖南卫视,http://113.95.138.226:8888/rtp/239.77.0.88:5146$1920×1080
湖南卫视,http://113.95.138.226:8888/rtp/239.77.1.5:5146$1920×1080
广东卫视,http://113.95.138.226:8888/rtp/239.77.0.166:5146$1920×1080
广东卫视,http://113.95.138.226:8888/rtp/239.77.1.19:5146$1920×1080
广东卫视,http://113.95.138.226:8888/rtp/239.77.0.84:5146$1920×1080
广东卫视,http://113.95.138.226:8888/rtp/239.77.1.152:5146$1920×1080
大湾区卫视,http://113.95.138.226:8888/rtp/239.77.0.215:5146$1920×1080
大湾区卫视,http://113.95.138.226:8888/rtp/239.77.1.12:5146$720×576
河南卫视,http://113.95.138.226:8888/rtp/239.77.1.229:5146$1920×1080
河南卫视,http://113.95.138.226:8888/rtp/239.77.0.17:5146$1920×1080
河北卫视,http://113.95.138.226:8888/rtp/239.77.1.214:5146$1920×1080
河北卫视,http://113.95.138.226:8888/rtp/239.77.0.148:5146$1920×1080
宁夏卫视,http://113.95.138.226:8888/rtp/239.77.0.73:5146$720×576
宁夏卫视,http://113.95.138.226:8888/rtp/239.77.1.28:5146$1920×1080
宁夏卫视,http://113.95.138.226:8888/rtp/239.77.0.49:5146$1920×1080
宁夏卫视,http://113.95.138.226:8888/rtp/239.77.1.246:5146$1920×1080
甘肃卫视,http://113.95.138.226:8888/rtp/239.77.0.189:5146$1920×1080
甘肃卫视,http://113.95.138.226:8888/rtp/239.77.1.57:5146$720×576
青海卫视,http://113.95.138.226:8888/rtp/239.77.1.70:5146$720×576
青海卫视,http://113.95.138.226:8888/rtp/239.253.43.125:5146$1920×1080
新疆卫视,http://113.95.138.226:8888/rtp/239.77.0.75:5146$720×576
新疆卫视,http://113.95.138.226:8888/rtp/239.253.43.202:5146$1920×1080
新疆卫视,http://113.95.138.226:8888/rtp/239.77.0.47:5146$1920×1080
新疆卫视,http://113.95.138.226:8888/rtp/239.77.1.25:5146$1920×1080
西藏卫视,http://113.95.138.226:8888/rtp/239.77.1.26:5146$1920×1080
西藏卫视,http://113.95.138.226:8888/rtp/239.77.0.74:5146$720×576
西藏卫视,http://113.95.138.226:8888/rtp/239.77.0.46:5146$1920×1080
兵团卫视,http://113.95.138.226:8888/rtp/239.77.1.29:5146$1920×1080
兵团卫视,http://113.95.138.226:8888/rtp/239.77.0.48:5146$1920×1080
兵团卫视,http://113.95.138.226:8888/rtp/239.77.0.77:5146$720×576
三沙卫视,http://113.95.138.226:8888/rtp/239.77.1.117:5146$720×576
三沙卫视,http://113.95.138.226:8888/rtp/239.253.43.113:5146$1920×1080
延边卫视,http://113.95.138.226:8888/rtp/239.77.1.99:5146$720×576
延边卫视,http://113.95.138.226:8888/rtp/239.77.0.10:5146$720×576
金鹰卡通,http://113.95.138.226:8888/rtp/239.77.0.164:5146$1920×1080
金鹰卡通,http://113.95.138.226:8888/rtp/239.77.1.52:5146$720×576
嘉佳卡通,http://113.95.138.226:8888/rtp/239.77.1.15:5146$720×576
嘉佳卡通,http://113.95.138.226:8888/rtp/239.77.0.179:5146$1920×1080
卡酷少儿,http://113.95.138.226:8888/rtp/239.77.1.50:5146$720×576
卡酷少儿,http://113.95.138.226:8888/rtp/239.77.0.79:5146$720×576
山东教育卫视,http://113.95.138.226:8888/rtp/239.77.1.35:5146$720×576
重庆节目,#genre#
重庆汽摩,http://113.95.138.226:8888/rtp/239.77.1.205:5146$720×576
重庆汽摩,http://113.95.138.226:8888/rtp/239.77.0.209:5146$720×576
IPTV,#genre#
睛彩竞技,http://113.95.138.226:8888/rtp/239.77.1.20:5146$1920×1080
睛彩广场舞,http://113.95.138.226:8888/rtp/239.77.1.23:5146$1920×1080
睛彩篮球,http://113.95.138.226:8888/rtp/239.77.1.21:5146$1920×1080
睛彩青少,http://113.95.138.226:8888/rtp/239.77.1.22:5146$1920×1080
广东频道,#genre#
广东珠江,http://113.95.138.226:8888/rtp/239.77.0.114:5146$1920×1080
广东珠江,http://113.95.138.226:8888/rtp/239.77.0.1:5146$1920×1080
广东珠江,http://113.95.138.226:8888/rtp/239.77.1.94:5146$720×576
广东新闻,http://113.95.138.226:8888/rtp/239.77.0.173:5146$1920×1080
广东影视,http://113.95.138.226:8888/rtp/239.77.0.217:5146$1920×1080
广东民生,http://113.95.138.226:8888/rtp/239.77.0.225:5146$1920×1080
广东少儿,http://113.95.138.226:8888/rtp/239.77.0.250:5146$1920×1080
广东现代教育,http://113.95.138.226:8888/rtp/239.77.0.213:5146$1920×1080
广东经济科教,http://113.95.138.226:8888/rtp/239.77.0.167:5146$1920×1080
广东经济科教,http://113.95.138.226:8888/rtp/239.77.0.85:5146$1920×1080
岭南戏曲,http://113.95.138.226:8888/rtp/239.77.0.122:5146$1920×1080
广东体育,http://113.95.138.226:8888/rtp/239.77.1.97:5146$720×576
广东体育,http://113.95.138.226:8888/rtp/239.77.0.112:5146$1920×1080
广东体育,http://113.95.138.226:8888/rtp/239.77.0.168:5146$1920×1080
广东综艺4K,http://113.95.138.226:8888/rtp/239.77.1.237:5146$3840×2160
广东综艺4K,http://113.95.138.226:8888/rtp/239.77.0.244:5146$3840×2160
广东综艺4K,http://113.95.138.226:8888/rtp/239.77.0.245:5146$3840×2160
南国都市4K,http://113.95.138.226:8888/rtp/239.253.43.99:5146$3840×2160
广州综合,http://113.95.138.226:8888/rtp/239.253.43.71:5146$1920×1080
广州新闻,http://113.95.138.226:8888/rtp/239.253.43.72:5146$1920×1080
广州法治,http://113.95.138.226:8888/rtp/239.253.43.74:5146$1920×1080
深圳少儿,http://113.95.138.226:8888/rtp/239.77.1.244:5146$1920×1080
深圳电视剧,http://113.95.138.226:8888/rtp/239.77.1.125:5146$1920×1080
深圳电视剧,http://113.95.138.226:8888/rtp/239.77.1.177:5146$1920×1080
深圳财经,http://113.95.138.226:8888/rtp/239.77.1.242:5146$1920×1080
深圳都市,http://113.95.138.226:8888/rtp/239.77.1.124:5146$1920×1080
深圳都市,http://113.95.138.226:8888/rtp/239.77.1.176:5146$1920×1080
深圳龙岗,http://113.95.138.226:8888/rtp/239.77.1.223:5146$1920×1080
深圳宝安,http://113.95.138.226:8888/rtp/239.77.1.67:5146$1920×1080
深圳体育健康,http://113.95.138.226:8888/rtp/239.77.1.128:5146$1920×1080
深圳体育健康,http://113.95.138.226:8888/rtp/239.77.1.140:5146$1920×1080
深圳宜和购物,http://113.95.138.226:8888/rtp/239.77.1.87:5146$1920×1080
东莞综合,http://113.95.138.226:8888/rtp/239.253.43.104:5146$1920×1080
