央视上海移动IPV6,#genre#
CETV1_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000002000002652/1.m3u8?channel-id=bestzb&Contentid=5000000002000002652&livemode=1&stbId=m
CETV1_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288015/1.m3u8?channel-id=bestzb&Contentid=5000000011000288015&livemode=1&stbId=m
CETV1_1.8M576,http://[2409:8087:1e01:23::10]:8112/000000001000/6000000003000018981/1.m3u8?channel-id=wasusyt&Contentid=6000000003000018981&livemode=1&stbId=m
CETV1_4M576,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000002000027253/1.m3u8?channel-id=ystenlive&Contentid=1000000002000027253&livemode=1&stbId=m
CETV2_2.5M576,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031201/1.m3u8?channel-id=bestzb&Contentid=5000000011000031201&livemode=1&stbId=m
CETV2_4M576,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288017/1.m3u8?channel-id=bestzb&Contentid=5000000011000288017&livemode=1&stbId=m
CETV2_4M576,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000005000266004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000266004&livemode=1&stbId=m
CETV4_2.5M576,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000006000012123/1.m3u8?channel-id=bestzb&Contentid=5000000006000012123&livemode=1&stbId=m
CETV4_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031126/1.m3u8?channel-id=bestzb&Contentid=5000000011000031126&livemode=1&stbId=m
CETV4_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000012000283003/1.m3u8?channel-id=bestzb&Contentid=5000000012000283003&livemode=1&stbId=m
CETV4_1.8M576,http://[2409:8087:1e01:23::10]:8112/000000001000/6000000005000042312/1.m3u8?channel-id=wasusyt&Contentid=6000000005000042312&livemode=1&stbId=m
CETV4_4M576,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000005000025333/1.m3u8?channel-id=ystenlive&Contentid=1000000005000025333&livemode=1&stbId=m
CGTN_4M576,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000002000009569/1.m3u8?channel-id=ystenlive&Contentid=1000000002000009569&livemode=1&stbId=m
CGTN(IPTV)_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/7745129417417101820/1.m3u8?channel-id=hnbblive&Contentid=7745129417417101820&livemode=1&stbId=m
CGTN阿拉伯语_4M576,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000006000280001/1.m3u8?channel-id=ystenlive&Contentid=1000000006000280001&livemode=1&stbId=m
CGTN俄语_4M576,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000006000280004/1.m3u8?channel-id=ystenlive&Contentid=1000000006000280004&livemode=1&stbId=m
CGTN法语_4M576,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000006000280003/1.m3u8?channel-id=ystenlive&Contentid=1000000006000280003&livemode=1&stbId=m
CGTN记录(IPTV)_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/7114647837765104058/1.m3u8?channel-id=hnbblive&Contentid=7114647837765104058&livemode=1&stbId=m
CGTN西班牙语_4M576,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000006000280002/1.m3u8?channel-id=ystenlive&Contentid=1000000006000280002&livemode=1&stbId=m

NewTV上海移动IPV6,#genre#
NewTV爱情喜剧_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/8393829412396288037/1.m3u8?channel-id=ystenlive&Contentid=8393829412396288037&livemode=1&stbId=m
NewTV超级电视剧_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000008139/1.m3u8?channel-id=ystenlive&Contentid=1000000001000008139&livemode=1&stbId=m
NewTV超级电视剧_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000004000024993/1.m3u8?channel-id=ystenlive&Contentid=1000000004000024993&livemode=1&stbId=m
NewTV超级电视剧_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000006000268003/1.m3u8?channel-id=ystenlive&Contentid=1000000006000268003&livemode=1&stbId=m
NewTV超级电影_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000012884/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012884&livemode=1&stbId=m
NewTV超级电影_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000003000012426/1.m3u8?channel-id=ystenlive&Contentid=1000000003000012426&livemode=1&stbId=m
NewTV超级电影_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000004000002120/1.m3u8?channel-id=ystenlive&Contentid=1000000004000002120&livemode=1&stbId=m
